Firma;Strasse;PLZ;Ort;Land;LoginEmail
Amici;Lautenschlager Straße 2;70173;Stuttgart;Deutschland
Brauereigaststätte Dinkelacker;Tübingerstraße 46;70178;Stuttgart;Deutschland
Ristorante La Scala;Friedrichstr. 41;70174;Stuttgart;Deutschland
Stuttgarter Schlachthof;Schlachthofstraße 2;70188;Stuttgart;Deutschland
(karls) kitchen;Marktstraße 1-3;70173;Stuttgart;Deutschland
5 RESTAURANT/BAR;Bolzstrasse 8;70173;Stuttgart;Deutschland
ABACCO'S STEAKHOUSE;Rotebühlplatz 10;70173;Stuttgart;Deutschland
AMADEUS Restaurant & Bar;Charlottenplatz 17;70173;Stuttgart;Deutschland
Adulis Restaurant & Bar;Esslinger Straße 22;70182;Stuttgart;Deutschland
Allgäuer Stüble;Reuchlinstraße 12;70178;Stuttgart;Deutschland
Ampulle;Augustenstr. 31a;70178;Stuttgart;Deutschland
Besitos;Rotebühlplatz 21;70178;Stuttgart;Deutschland
Biergarten im Schloßgarten;Am Schlossgarten 18;70173;Stuttgart;Deutschland
Brauhaus Calwer-Eck;Calwer Str. 31;70173;Stuttgart;Deutschland
Brauhaus Schönbuch;Bolzstraße 10;70173;Stuttgart;Deutschland
Cafe Graf Eberhard;Nesenbachstr 52;70173;Stuttgart;Deutschland
Cafe Künstlerbund;Schloßplatz 2;70173;Stuttgart;Deutschland
Carls Brauhaus;Stauffenbergstraße 1;70173;Stuttgart;Deutschland
Da Capo;Teckstraße 60;70190;Stuttgart;Deutschland
Dean & David;Calwerstr 60;70173;Stuttgart;Deutschland
Der Zauberlehrling;Rosenstr. 38;70182;Stuttgart;Deutschland
Dinea;Königsstraße 6;70173;Stuttgart;Deutschland
Feinkost Böhm;Kronprinzstrasse 6;70173;Stuttgart;Deutschland
Fellini;Fritz-Elsas-Strasse 31;70174;Stuttgart;Deutschland
Herr Kächele;Calwer Passage;70173;Stuttgart;Deutschland
Holiday Inn;Mittlerer Pfad 25;70499;Stuttgart;Deutschland
Hotel-Restaurant Krehl´s Linde;Obere Waiblinger Straße 113;70374;Stuttgart;Deutschland
Japanisches Restaurant Kicho;Jakobstraße 19;70182;Stuttgart;Deutschland
Joe Pena's Cantina y Bar;Kriegbergstraße 15;70174;Stuttgart;Deutschland
Kikuya Japanese Restaurant;Calwer Straße 31;70173;Stuttgart;Deutschland
Klein und Fein;Kronenstr. 45;70174;Stuttgart;Deutschland
Koh Chang;Urbanstr. 48;70182;Stuttgart;Deutschland
La Commedia;Büchsenstraße 26;70174;Stuttgart;Deutschland
La nuova Trattoria Da Franco;Calwer Straße 32;70173;Stuttgart;Deutschland
Le Medoc;Am Kernerplatz 9;70182;Stuttgart;Deutschland
Le Tonneau - Vital Lunch;Schwabstraße 92;70193;Stuttgart;Deutschland
Lichtblick;Reinsburgstr. 13;70178;Stuttgart;Deutschland
Maredo Steak-Restaurant;Königstr. 38;70173;Stuttgart;Deutschland
Mezzogiorno Bar Ristorante Café;Kriegsbergstr. 55;70174;Stuttgart;Deutschland
Neuer Ochsen;Schwabenplatz 3;70563;Stuttgart;Deutschland
Neuer Pfefferer;Am Schnarrenberg 14;70376;Stuttgart;Deutschland
Palm Beach Stuttgart;Mercedesstrasse 73b;70372;Stuttgart;Deutschland
Pane e Vino;Geissstraße 1;70173;Stuttgart;Deutschland
Mauritius;Marienstraße 12;70178;Stuttgart;Deutschland
May Restaurant;Fahrionstr. 7;70469;Stuttgart;Deutschland
Metzgerei B. Buchert GmbH;Gablenberger Hauptstr. 115;70186;Stuttgart;Deutschland
Metzgerei Diehl;Florianstraße 14;70190;Stuttgart;Deutschland
Milchbar;Höhenpark Killesberg;70191;Stuttgart;Deutschland
Miss Tan-Do;Schulstr. 9;70173;Stuttgart;Deutschland
Momentos;Filderbahnstr. 2;70567;Stuttgart;Deutschland
mozart 3;Mozartstraße 3;70180;Stuttgart;Deutschland
Muckenstüble;Solitudestraße 25;70499;Stuttgart;Deutschland
Murrhardter Hof;Wilhelmsplatz 6;70182;Stuttgart;Deutschland
Il Boccone;Kirchstraße 19a;71634;Ludwigsburg;Deutschland
Alte Sonne;Bei der katholischen Kirche 3;71634;Ludwigsburg;Deutschland
Brauerei zum Rossknecht;Reithausplatz 21;71634;Ludwigsburg;Deutschland
Breuninger Frish;Heinkelstr. 1;71634;Ludwigsburg;Deutschland
Herr Kächele;Marstall;71634;Ludwigsburg;Deutschland
Platinum Restaurant;Solitudestraße 43;71638;Ludwigsburg;Deutschland
Ratskeller Ludwigsburg;Wilhelmstrasse 13;71638;Ludwigsburg;Deutschland
Restaurant Lembergblick;Lembergblick 11;71634;Ludwigsburg;Deutschland
Restaurant Post-Cantz;Eberhardstraße 6;71634;Ludwigsburg;Deutschland
Scala Backstage;Stuttgarter Straße 2;71638;Ludwigsburg;Deutschland
Werkcafe;Rheinlandstr. 10;71636;Ludwigsburg;Deutschland
Württemberger Hof;Bismarckstr. 24;71634;Ludwigsburg;Deutschland
BarON;Marktplatz 13;71634;Ludwigsburg;Deutschland
Brothers & Meat Steakhouse;Karlsplatz 2;71638;Ludwigsburg;Deutschland
Hotel Krauthof;Beihinger Straße 27;71634;Ludwigsburg;Deutschland
Joe Peña's Cantina y Bar;Akademiehof 4;71634;Ludwigsburg;Deutschland
Kubus;Stuttgarter Strasse 33;71638;Ludwigsburg;Deutschland
Rossknecht im Schloss;Hauptstrasse 79;74321;Bietigheim-Bissingen;Deutschland
Gasthaus Storchen;Am Bürgergarten 9;74321;Bietigheim-Bissingen;Deutschland
Kaffeehaus Hagen;Kirchheimer Str. 5;74321;Bietigheim-Bissingen;Deutschland
Maerz - Das Restaurant;Kronenbergstraße 14;74321;Bietigheim-Bissingen;Deutschland
Restaurant Ambiente;Walheimer Str. 1;74321;Bietigheim-Bissingen;Deutschland
Rommelmühle Restaurant;Flößerstraße 60;74321;Bietigheim-Bissingen;Deutschland
Henrys;Hauptstraße 54;74321;Bietigheim-Bissingen;Deutschland
Hotel Restaurant Otterbach;Bahnhofstraße 153;74321;Bietigheim-Bissingen;Deutschland
Metzgerei Dietz;Gustav-Rau-Str 19;74321;Bietigheim-Bissingen;Deutschland
Friedrich von Schiller;Marktplatz 4+5;74321;Bietigheim-Bissingen;Deutschland
Alte Vogtei;Marktstraße 31;71522;Backnang;Deutschland
Asien Perle;Stuttgarter Straße 140;71522;Backnang;Deutschland
Backnanger Stuben;Bahnhofstraße 7;71522;Backnang;Deutschland
Landmetzgerei Rupp-Holzwarth;Schillerstr. 45;71522;Backnang;Deutschland
Merlin;Gerberstraße 54;71522;Backnang;Deutschland
Restaurant Stadtblick;Größeweg 20;71522;Backnang;Deutschland
Ristorante bei Mario;Aspacher Str. 57;71522;Backnang;Deutschland
Tante Emma;Willy-Brandt-Platz 3;71522;Backnang;Deutschland
Blum's Öxle;Marktplatz 4;73728;Esslingen;Deutschland
Jägerhaus;Römerstraße 7;73732;Esslingen;Deutschland
Argo Restaurant;Nympheaweg 14;73730;Esslingen;Deutschland
